84,0,0.01,0.01,0,0.02,0.01,0.01,0,0.03,0,0.02,0.02,
85,0,0,0.02,0.01,0.02,0.04,0,0.01,0.01,0.01,0.03,0.02,
86,0.01,0,0,0.02,0,0.02,0,0.01,0.01,0.01,0.01,0.01,
87,0,0,0,0,0,0.01,0.01,0.04,0.02,0.01,0.01,0.02,
88,0,0,0,0,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.01,
89,0,0,0,0,0.03,0,0,0.04,0.02,0.02,0.01,0.01,
90,0,0,0,0,0.01,0.04,0,0.02,0,0,0,0,
91,0,0.01,0,0.01,0.02,0.01,0.01,0.02,0.01,0.03,0,0.02,
92,0,0,0,0,0,0,0.03,0,0.01,0.02,0.02,0.02,
93,0,0,0.01,0,0.01,0,0.02,0,0.05,0,0,0.03,
94,0,0,0,0.01,0,0.01,0,0,0.03,0.01,0.02,0.03,
95,0,0,0,0.01,0,0.01,0,0,0.03,0.01,0.02,0.03,
96,0.01,0.09,0.26,0.36,0.59,0.74,0.8,0.87,0.93,1,0.95,0.99,
97,0,0,0,0,0.02,0.01,0.01,0,0.02,0.01,0,0,
98,0,0,0,0.01,0.01,0,0,0.03,0.05,0.02,0.02,0.02,
99,0,0,0,0,0,0,0,0.05,0.02,0.01,0.01,0.02,
100,0,0,0,0,0,0,0,0.01,0.01,0.04,0,0,
101,0,0.01,0,0,0.02,0.01,0.01,0,0.03,0.01,0.02,0.01,
102,0,0,0,0.01,0.01,0,0,0.03,0.05,0.02,0.02,0.02,
103,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0,0,0.02,
104,0.01,0.01,0,0,0.02,0.02,0.02,0.02,0.01,0,0.01,0.05,
105,0,0,0,0.01,0.02,0,0.01,0.03,0,0.01,0,0.02,
106,0,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.02,
