 ,adjustment_method,empirical_fdr,num_rejections,empirical_power,testing_method,nonnull_type,regime_id,repetition_id,trial_id
4736, BH , 0,13,0.8125 , simes,self,11,84,1184
4737,Bonferroni,0,13,0.8125 , simes,self,11,84,1184
4738,BH,0,2,0.166667 , hypergeometric.ga,comp,11,84,1184
4739,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,84,1184
4740, BH , 0,16,1 , simes,self,11,85,1185
4741,Bonferroni,0,16,1 , simes,self,11,85,1185
4742,BH,0,2,0.166667 , hypergeometric.ga,comp,11,85,1185
4743,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,85,1185
4744, BH , 0,15,0.9375 , simes,self,11,86,1186
4745,Bonferroni,0,14,0.875 , simes,self,11,86,1186
4746,BH,0,2,0.166667 , hypergeometric.ga,comp,11,86,1186
4747,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,86,1186
4748, BH , 0.0833333,12,0.6875 , simes,self,11,87,1187
4749,Bonferroni,0,10,0.625 , simes,self,11,87,1187
4750,BH,0,2,0.166667 , hypergeometric.ga,comp,11,87,1187
4751,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,87,1187
4752, BH , 0.0714286,14,0.8125 , simes,self,11,88,1188
4753,Bonferroni,0,10,0.625 , simes,self,11,88,1188
4754,BH,0,2,0.166667 , hypergeometric.ga,comp,11,88,1188
4755,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,88,1188
4756, BH , 0,16,1 , simes,self,11,89,1189
4757,Bonferroni,0,14,0.875 , simes,self,11,89,1189
4758,BH,0,2,0.166667 , hypergeometric.ga,comp,11,89,1189
4759,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,89,1189
4760, BH , 0.111111,18,1 , simes,self,11,90,1190
4761,Bonferroni,0,15,0.9375 , simes,self,11,90,1190
4762,BH,0,2,0.166667 , hypergeometric.ga,comp,11,90,1190
4763,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,90,1190
4764, BH , 0,15,0.9375 , simes,self,11,91,1191
4765,Bonferroni,0,11,0.6875 , simes,self,11,91,1191
4766,BH,0,2,0.166667 , hypergeometric.ga,comp,11,91,1191
4767,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,91,1191
4768, BH , 0.2,20,1 , simes,self,11,92,1192
4769,Bonferroni,0,14,0.875 , simes,self,11,92,1192
4770,BH,0,2,0.166667 , hypergeometric.ga,comp,11,92,1192
4771,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,92,1192
4772, BH , 0,16,1 , simes,self,11,93,1193
4773,Bonferroni,0,8,0.5 , simes,self,11,93,1193
4774,BH,0,2,0.166667 , hypergeometric.ga,comp,11,93,1193
4775,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,93,1193
4776, BH , 0.0714286,14,0.8125 , simes,self,11,94,1194
4777,Bonferroni,0,12,0.75 , simes,self,11,94,1194
4778,BH,0,2,0.166667 , hypergeometric.ga,comp,11,94,1194
4779,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,94,1194
4780, BH , 0,16,1 , simes,self,11,95,1195
4781,Bonferroni,0,16,1 , simes,self,11,95,1195
4782,BH,0,2,0.166667 , hypergeometric.ga,comp,11,95,1195
4783,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,95,1195
4784, BH , 0.466667,30,1 , simes,self,11,96,1196
4785,Bonferroni,0,16,1 , simes,self,11,96,1196
4786,BH,0,2,0.166667 , hypergeometric.ga,comp,11,96,1196
4787,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,96,1196
